fir_text,positive_id,positive_text,negative_id,negative_text
A group extorted money from shopkeepers by threatening violence.,308,Robbery — Using force or threat of injury to extort or take property from a person’s possession.,311,Dacoity — Robbery committed by five or more persons acting jointly.
A man abducted a child from school demanding ransom from the parents.,139,Kidnapping for ransom — Abducting or detaining a person to demand money or benefit for release.,137,Kidnapping — Taking away a person without lawful authority or guardian consent.
A person tampered with an electricity meter to reduce recorded consumption.,326,Mischief causing loss — Tampering with property or instruments to cause loss or wrongful gain.,318,Cheating — Deceiving someone dishonestly to induce property delivery or action.
A man was found guilty of dowry death after continuous abuse led to his wife’s death.,113,Dowry death — Death of a woman due to cruelty or harassment over dowry demand within seven years of marriage.,86,Cruelty by husband or relatives — Subjecting woman to cruelty without resulting in her death.
A security guard wrongfully confined a delivery worker in the basement.,126,Wrongful confinement — Illegally restraining a person in such a manner as to prevent them from moving beyond certain limits.,125,Wrongful restraint — Illegally obstructing a person from proceeding in a direction they have a right to move.
A person bribed a railway official to issue a fake ticket refund.,174,Public servant taking gratification — Accepting or soliciting bribe to show undue official favour.,177,Criminal misconduct by public servant — Misusing position to gain unlawful advantage.
A student intentionally insulted a teacher in class with abusive language.,353,Intentional insult — Using abusive words or gestures intending to provoke breach of peace or public disorder.,354,Criminal intimidation — Threatening another person with injury to cause alarm or compel an act.
A person intentionally injured a traffic police officer during duty.,115,Voluntarily causing hurt to deter public servant — Causing bodily harm to a public servant while performing official duty.,111,Assault — Physical act causing fear or minor injury without severe harm.
A contractor used low-quality materials in government housing construction.,323,Mischief — Causing damage to property by deceit or negligence to gain wrongful advantage.,318,Cheating — Deceiving the government to gain monetary or material benefits.
A man impersonated a government officer to extort money from citizens.,319,Cheating by personation — Pretending to be someone else to deceive and gain money or property.,318,Cheating — Deceiving without impersonation to induce delivery of property.
A person was found using a previously used government revenue stamp to avoid tax.,184,Using government stamp known to have been used — Fraudulently reusing revenue stamp with intent to cause loss to government.,183,Effacing used government stamp — Removing writing or reusing stamp fraudulently to cause financial loss.
A group of individuals planned and executed a terrorist act in a crowded area.,111,Terrorist act — Using explosives or weapons to intimidate public or threaten sovereignty and security of India.,153,Unlawful assembly — Gathering of people with intent to commit offence or disturb public peace.
A man deliberately caused a bus accident to claim insurance money.,324,Mischief by fire or explosive — Causing damage using explosives or fire to injure or gain unlawful benefit.,105,Culpable homicide — Causing death or injury by act done with reckless disregard for human life.
A landlord illegally evicted tenants by using force without due process.,125,Wrongful restraint — Preventing or obstructing a person from moving freely in lawful exercise of their rights.,126,Wrongful confinement — Confining or detaining a person beyond their will within limited boundaries.
A driver caused death by negligent driving under the influence of alcohol on a public road.,106,Whoever causes death by doing a rash or negligent act not amounting to culpable homicide shall be punished with imprisonment or fine.,105,Culpable homicide not amounting to murder applies when there is knowledge and intention to cause death.
"A government employee accepted ₹50,000 bribe for issuing a license quickly.",174,Public servant taking gratification other than legal remuneration in respect of an official act is punishable with imprisonment and fine.,175,Public servant taking gratification to influence another public servant applies when intermediary influence is involved.
A hacker gained unauthorized access to bank servers and stole customer credentials.,111,Dishonestly receiving stolen property including digital data or credentials is punishable with imprisonment.,303,"Theft involves physically taking movable property, not intangible digital data."
A man impersonated as a police officer to extort money from shopkeepers.,316,Cheating by personation is punishable with imprisonment and fine.,175,"Taking gratification by public servant applies to actual officials, not impersonators."
A husband repeatedly assaulted his wife for dowry demands of ₹5 lakh.,85,Cruelty by husband or relatives to woman is punishable with imprisonment up to three years and fine.,64,"Rape provision applies only to sexual assault, not domestic cruelty."
A student leaked exam papers online for money.,327,Disclosure of official or confidential information without authorization is punishable.,318,"Cheating provision applies to deceitful inducement, not direct information leakage."
A man kidnapped a 12-year-old boy for ransom.,137,Kidnapping for ransom is punishable with life imprisonment or rigorous imprisonment.,136,Simple kidnapping applies when intent for ransom is absent.
A mob set fire to a religious place during riots.,302,Mischief by fire or explosive substance intending to destroy a place of worship is punishable with life imprisonment.,303,"Simple theft relates to movable property, not destruction by fire."
A worker deliberately contaminated packaged milk causing public health hazard.,290,Adulteration of food or drink intended for sale is punishable with imprisonment.,289,Negligently selling unwholesome food applies when no deliberate act is proven.
A man recorded a woman without consent in a public restroom.,77,"Voyeurism, capturing or disseminating images of private act without consent, is punishable with imprisonment.",76,"Stalking involves following or contacting repeatedly, not recording private acts."
A gang looted cash and gold from a bank van with weapons.,310,Robbery or dacoity committed by five or more persons with deadly weapons is punishable with life imprisonment.,303,Theft involves taking without violence or weapon use.
A man forged property documents to sell land not belonging to him.,336,Forgery of valuable security or will is punishable with imprisonment up to ten years.,318,Cheating involves deception but not falsification of documents.
A husband abetted his wife to commit suicide due to mental torture.,113,Abetment of suicide is punishable with imprisonment up to ten years.,85,"Cruelty to woman addresses continuous harassment, not the act of abetment itself."
A teacher molested a 14-year-old girl student in classroom.,64,Sexual assault on woman without consent is punishable with imprisonment not less than ten years.,66,"Sexual harassment covers non-physical acts, not assault."
A businessman evaded GST by forging invoices worth crores.,336,Forgery of valuable documents including tax invoices is punishable.,318,Cheating provision covers inducement but not forged records.
A man trespassed into his neighbour’s house at night with intent to commit theft.,325,House-trespass with intent to commit an offence is punishable.,303,"Theft section applies only after property is taken, not mere entry."
A contractor dumped industrial waste in a protected forest area.,287,Pollution or environmental damage causing harm to public health is punishable.,290,"Adulteration of food/drink applies to consumables, not pollution."
A man threatened to release intimate photos of his ex-girlfriend unless paid ₹1 lakh.,228,Criminal intimidation by threat to reputation or property is punishable.,318,"Cheating deals with dishonest inducement, not threat or extortion."
A politician deliberately spread false information to cause public panic.,182,Disseminating false or alarming news causing public disorder is punishable.,184,"Using previously used government stamps deals with fiscal fraud, not misinformation."
A doctor performed surgery without consent resulting in serious injury.,106,Causing death or injury by rash or negligent act is punishable.,105,Culpable homicide applies only when death is intended or known likely.
A servant stole jewellery from his employer’s locker.,303,Theft by clerk or servant of employer’s property is punishable with enhanced penalties.,310,"Robbery involves force or threat, not secret theft."
A man caused grievous hurt to his neighbour with an iron rod.,115,Voluntarily causing grievous hurt is punishable with imprisonment up to seven years.,114,Simple hurt applies when injury is not grievous.
A group vandalized public buses during protest causing heavy damage.,302,Mischief by fire or explosive substance is punishable with life imprisonment or imprisonment.,305,"Criminal trespass applies to unlawful entry, not property damage."
A journalist was unlawfully detained by local police without warrant.,149,Wrongful confinement for more than 24 hours is punishable.,150,"Wrongful restraint covers prevention of movement, not confinement."
A tenant refused to vacate and illegally occupied property despite court order.,324,Criminal trespass after lawful possession ended is punishable.,318,"Cheating relates to deceitful inducement, not property occupation."
A businessman issued fake currency notes for payment.,356,Counterfeiting currency or bank notes is punishable with life imprisonment or fine.,336,"Forgery applies to documents, not currency."
A man intentionally spread malicious virus causing banking data loss.,111,Dishonest unauthorized interference with computer resources is punishable.,303,Theft covers tangible movable property only.
A father neglected to provide food and shelter to his dependent child.,88,Failure to maintain dependents without reasonable cause is punishable with imprisonment or fine.,85,"Cruelty to woman focuses on spousal abuse, not neglect of child."
A railway employee tampered with safety signals causing derailment.,268,Endangering safety of persons travelling by railway by tampering with signals is punishable.,106,"Negligent act causing death applies when death results, not just endangerment."
A person illegally transported arms without license.,143,Possession or transportation of arms without valid license is punishable.,144,"Unlawful assembly applies to group activity, not possession of arms."
A mob attacked a police station injuring officers.,187,Assaulting public servant to deter from duty is punishable.,228,"Criminal intimidation covers threats, not physical assault."
A man disclosed identity of a sexual assault victim in media.,78,Publishing identity of sexual offence victim without consent is punishable.,182,"Circulating false news applies to misinformation, not victim disclosure."
A man bribed a witness to give false testimony.,177,Taking gratification to screen offender or influence testimony is punishable.,174,Taking gratification by public servant relates to official capacity.
A student created fake social media profiles to defame a teacher.,228,Criminal intimidation and defamation by electronic means is punishable.,182,Spreading false information causing panic differs from personal defamation.
A man unlawfully confined a woman for three days against her will.,149,Wrongful confinement for more than 24 hours is punishable.,136,"Kidnapping applies when taken from lawful guardianship, not confinement."
A gang snatched a woman’s handbag using a motorcycle.,309,Robbery involving sudden snatching or use of force is punishable.,303,Theft applies without violence.
A patient died after fake doctor administered wrong injection.,106,Death caused by rash or negligent act is punishable.,105,Culpable homicide not amounting to murder applies when intention is present.
A cyber-café owner failed to report child pornography being circulated.,79,Publishing or transmitting obscene or child pornographic material in electronic form is punishable.,76,"Stalking involves repeated contact or following, not publication."
A woman intentionally caused miscarriage without medical grounds.,87,Voluntarily causing miscarriage is punishable with imprisonment.,105,"Culpable homicide applies when death of a person results, not miscarriage."
A trader mixed stone dust in wheat flour and sold it as pure.,290,Adulteration of food intended for sale is punishable.,289,Negligent sale of unwholesome food applies when adulteration is not intentional.
A woman was lured abroad on fake promises of a job and trafficked into forced labour.,140,Trafficking of persons for exploitation through deception or coercion is punishable with rigorous imprisonment up to ten years.,136,Kidnapping addresses unlawful removal from guardianship without purpose of exploitation.
A police officer tortured an accused in custody causing severe injuries.,189,Custodial torture by public servant is punishable with imprisonment and fine.,115,"Voluntarily causing hurt applies to private individuals, not custodial abuse."
A political candidate offered money to voters during election campaign.,188,Bribery during election to induce voting or abstention is punishable.,174,"Public servant accepting gratification deals with officials, not candidates."
A person illegally transported human organs for sale.,289,"Trading, transport or sale of human organs without authorization is punishable with imprisonment.",290,"Adulteration of food applies to consumables, not organs."
A group of extremists planted a bomb at a railway station causing deaths.,111,Terrorist act using explosives to endanger public safety is punishable with life imprisonment or death.,302,"Mischief by fire applies to destruction of property, not terrorism."
A man circulated fake government orders on social media to cause confusion.,182,Spreading false information or alarming news causing public mischief is punishable.,316,"Cheating by personation concerns pretending as another individual, not misinformation."
A forest ranger accepted bribe to permit illegal logging.,174,Public servant taking gratification other than legal remuneration is punishable.,177,Taking gratification to conceal an offender differs from accepting bribe for an act.
A group smuggled endangered tiger skins across borders.,289,"Illegal hunting, trade or transport of wildlife species is punishable with imprisonment.",287,"Environmental pollution involves damage to environment, not wildlife trafficking."
A builder constructed on government land without permission.,324,Criminal trespass and unlawful possession of government property is punishable.,303,"Theft deals with movable property, not immovable encroachment."
A fake doctor performed surgeries without qualification or license.,328,Person practicing profession without required qualification is punishable.,106,"Negligent act causing death applies to outcome, not unauthorized practice."
A man secretly filmed minors changing clothes in a shop’s trial room.,77,"Voyeurism, capturing private act images without consent, is punishable.",76,"Stalking involves repeated contact, not hidden recording."
A public servant intentionally destroyed official records to hide corruption.,337,Forgery or destruction of public records by public servant is punishable.,318,"Cheating relates to deception, not document destruction."
A driver fled after hitting a pedestrian resulting in death.,106,Causing death by negligent act like rash driving is punishable.,105,Culpable homicide involves intention or knowledge of death.
A cybercriminal cloned debit cards of multiple customers to withdraw money.,318,Cheating by electronic impersonation or deception is punishable with imprisonment.,336,"Forgery applies to written or digital documents, not deception alone."
A husband denied maintenance to his estranged wife despite court order.,88,Failure to maintain dependents without reasonable cause is punishable.,85,"Cruelty to woman covers harassment, not neglect of maintenance."
A mob attacked police officials during curfew enforcement.,187,Assault or criminal force to deter public servant from duty is punishable.,228,"Criminal intimidation concerns threats, not physical assault."
A teacher demanded sexual favours from student for grades.,66,Sexual harassment involving demand or request for sexual favour is punishable.,64,"Sexual assault covers physical acts, not verbal demands."
A journalist was arrested for criticizing the government without due process.,150,Wrongful restraint of person exercising lawful profession is punishable.,149,"Wrongful confinement covers detention, not restriction of profession."
A worker stole classified defense information and sold it to foreign agents.,338,Espionage or communication of state secrets to foreign power is punishable with imprisonment for life.,337,Forgery of documents doesn’t involve state secrets or espionage.
A fake passport racket produced hundreds of counterfeit travel documents.,336,"Forgery of valuable security, passport, or travel document is punishable.",303,"Theft involves physical property, not falsification."
A person offered online betting and gambling using fake apps.,320,Cheating and dishonestly inducing delivery of property through online gaming is punishable.,318,Generic cheating applies but not specifically online fraud through games.
A contractor built a bridge with substandard material causing collapse.,106,Rash or negligent act causing death or injury is punishable.,105,Culpable homicide not amounting to murder requires knowledge of likely death.
A man distributed obscene printed pamphlets in public.,79,Publication or circulation of obscene material is punishable.,182,"Circulation of false news concerns misinformation, not obscenity."
A security guard detained a woman unlawfully for hours inside mall premises.,149,Wrongful confinement beyond 24 hours is punishable.,150,Wrongful restraint restricts movement but not complete confinement.
A man deliberately infected others with HIV knowing his condition.,106,Causing death or grievous hurt by negligent or malicious act is punishable.,114,"Simple hurt applies for minor injuries, not deliberate disease transmission."
A company dumped toxic chemicals into a river harming aquatic life.,287,Pollution causing danger to public health or environment is punishable.,290,Adulteration of food/drink applies to consumables only.
A priest performed child marriage in violation of law.,138,Procuration or marriage of minor girl under 18 years is punishable.,136,"Kidnapping applies to removal from guardianship, not solemnizing marriage."
A gang stole ATM machines using cranes at night.,310,Robbery or dacoity committed with weapons or force is punishable.,303,Theft applies when property is taken secretly without force.
A company illegally mined coal in protected reserve area.,287,Causing environmental degradation by unauthorized mining is punishable.,324,"Trespass applies to illegal entry, not extraction of minerals."
A person used fake Aadhaar card to obtain government subsidy.,318,Cheating by misrepresentation or false identity to obtain benefit is punishable.,336,"Forgery covers document falsification, not inducement itself."
A doctor refused to treat accident victim leading to death.,106,Rash or negligent omission causing death is punishable.,105,Culpable homicide requires mental intent or knowledge of death.
A man posted hate comments targeting a religion on social media.,196,Promoting enmity between groups on grounds of religion is punishable.,182,"Circulation of false information covers misinformation, not hate intent."
A factory owner employed children below 14 years in hazardous jobs.,142,Employment of children in hazardous occupations is punishable.,88,Neglect to maintain dependents doesn’t apply to child labour.
A builder collected advance payments and vanished without starting project.,318,Cheating by inducement to deliver property or money is punishable.,336,"Forgery relates to document falsification, not inducement."
A driver bribed an officer to avoid challan for drunk driving.,174,Public servant accepting gratification other than legal remuneration is punishable.,177,"Screening offender for bribe applies to concealment, not avoidance."
A man sold expired medicines relabeled with new expiry dates.,290,Adulteration or sale of unsafe food or drug products is punishable.,336,Forgery of document doesn’t involve sale of adulterated goods.
A landlord disconnected water supply to tenant to force eviction.,228,Criminal intimidation or threat to compel action is punishable.,149,"Wrongful confinement applies to physical restraint, not utilities."
A corporate employee leaked confidential merger documents to competitors.,327,Disclosure of confidential business information without authority is punishable.,318,"Cheating applies when inducement occurs, not disclosure."
A man abetted a juvenile to commit armed robbery.,113,Abetment of offence by minor is punishable with imprisonment.,310,"Robbery applies to direct commission, not abetment."
A hacker defaced a government website replacing official data with offensive images.,111,Unauthorized access to computer resources and tampering with data is punishable.,182,"Circulation of false news concerns speech, not hacking."
